                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8853,                  4.638,                 1.0081,                      0,                      0,                      0,                      0,                0.53045,                 4.2619,                0.81707,             6.6256e-05,             6.6256e-05,             6.6256e-05
                      2,                0.65552,                 4.0134,                0.90837,                0.02925,                0.58821,                0.07577,                0.06822,                0.50169,                  3.717,                0.81502,             0.00013412,             0.00013412,             0.00013412
                      3,                0.66182,                 3.4091,                0.92661,                0.53169,                0.23927,                0.25288,                0.22661,                0.52616,                 2.7989,                0.84311,             0.00020186,             0.00020186,             0.00020186
                      4,                0.65526,                 2.8178,                0.94154,                 0.4307,                0.47961,                0.43267,                0.38493,                0.54011,                  1.988,                0.87283,             0.00020339,             0.00020339,             0.00020339
                      5,                0.65109,                 2.2487,                0.96028,                0.63087,                0.63867,                0.68571,                0.60475,                0.54207,                 1.3922,                0.91458,             0.00020319,             0.00020319,             0.00020319
                      6,                0.63229,                 1.8387,                  0.958,                0.77508,                0.76534,                0.83193,                0.73613,                0.52255,                 1.1175,                0.90372,             0.00020299,             0.00020299,             0.00020299
                      7,                0.62093,                 1.5834,                0.94709,                0.86917,                0.82294,                  0.893,                0.80081,                0.48764,                0.93783,                0.89248,             0.00020279,             0.00020279,             0.00020279
                      8,                0.58373,                 1.3504,                0.93358,                0.86148,                0.89715,                0.93823,                0.83965,                0.47893,                0.80695,                0.88923,             0.00020259,             0.00020259,             0.00020259
                      9,                0.56393,                 1.1982,                0.92797,                0.93647,                0.93418,                0.96796,                0.87169,                0.46322,                0.65773,                0.86928,             0.00020238,             0.00020238,             0.00020238
                     10,                0.56711,                 1.1142,                0.91953,                0.95371,                0.95546,                0.97977,                0.88124,                0.46229,                0.58568,                0.86415,             0.00020218,             0.00020218,             0.00020218
                     11,                0.54929,                 1.0125,                0.91052,                0.96694,                0.96098,                0.98665,                0.88993,                0.45521,                0.55259,                0.86124,             0.00020198,             0.00020198,             0.00020198
                     12,                0.53313,                0.93839,                0.90656,                0.96163,                0.96166,                0.98908,                0.89354,                0.45903,                0.52231,                0.85561,             0.00020178,             0.00020178,             0.00020178
                     13,                0.52152,                0.88902,                0.89696,                0.96548,                0.98116,                0.99089,                0.90306,                0.43766,                0.50174,                0.84786,             0.00020158,             0.00020158,             0.00020158
                     14,                0.51817,                0.85329,                0.89434,                0.98016,                0.98083,                0.99081,                0.90615,                0.43345,                 0.4527,                0.84429,             0.00020137,             0.00020137,             0.00020137
